Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,02h06m39.6594s, 10.5143948˚00'00",0,ARI,-,03h23m47.1387s, 10.3632069˚00'00",0,ARI,:,grey,1,0.5
-,01h46m37.3761s, 10.5432396˚00'00",0,ARI,-,02h06m39.6594s, 10.5143948˚00'00",0,ARI,:,grey,1,0.5
-,01h46m58.7219s, 25.6263351˚00'00",0,ARI,-,01h46m37.3761s, 10.5432396˚00'00",0,ARI,:,grey,1,0.5
-,02h02m03.2907s, 25.6050701˚00'00",0,ARI,-,01h46m58.7219s, 25.6263351˚00'00",0,ARI,:,grey,1,0.5
-,02h02m07.3479s, 27.8550186˚00'00",0,ARI,-,02h02m03.2907s, 25.6050701˚00'00",0,ARI,:,grey,1,0.5
-,02h32m16.8357s, 27.8047638˚00'00",0,ARI,-,02h02m07.3479s, 27.8550186˚00'00",0,ARI,:,grey,1,0.5
-,02h32m24.7665s, 31.2213154˚00'00",0,ARI,-,02h32m16.8357s, 27.8047638˚00'00",0,ARI,:,grey,1,0.5
-,02h50m30.8112s, 31.1865025˚00'00",0,ARI,-,02h32m24.7665s, 31.2213154˚00'00",0,ARI,:,grey,1,0.5
-,03h29m42.4003s, 31.1003609˚00'00",0,ARI,-,02h50m30.8112s, 31.1865025˚00'00",0,ARI,:,grey,1,0.5
-,03h29m09.7494s, 19.4343338˚00'00",0,ARI,-,03h29m42.4003s, 31.1003609˚00'00",0,ARI,:,grey,1,0.5
-,03h24m08.9363s, 19.4461136˚00'00",0,ARI,-,03h29m09.7494s, 19.4343338˚00'00",0,ARI,:,grey,1,0.5
-,03h23m47.1387s, 10.3632069˚00'00",0,ARI,-,03h24m08.9363s, 19.4461136˚00'00",0,ARI,:,grey,1,0.5
